N;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
0;Коллекция Grand Reserve Каберне качинское, вино выдержанное сухое красное географического наименования 2015;Красное;4623720891633;Inkerman;;2019;2015;Сухое;Красное;831;075;86.46;4.3230;https://rskrf.ru//goods/inkerman-kollektsiya-grand-reserve-kaberne-kachinskoe-vino-geograficheskogo-naimenovaniya-vyderzhann/
1;Alma Valley Red  2016;Красное;4660016611339;Alma Valley;ИНВЕСТ ПЛЮС ООО;2018;2016;Сухое;Красное;536;075;85.89;4.2945;https://rskrf.ru//goods/alma-valley-red-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-sukhoe-krasnoe-2016-god/
2;Русские сказки. «Жар-Птица» 2014;Красное;4620002630898;Русские Сказки - Раевское;ДЕЛЬТА КЛАБ ООО;2018;2014;Сухое;Красное;979;075;85.73;4.2865;https://rskrf.ru//goods/raevskoe-renessans-2014-vino-stolovoe-sukhoe-krasnoe-zhar-ptitsa/
3;Красностоп 2016;Красное;4620002631017;Шато Ле Гран Восток;АВРОРА ОАО;2018;2016;Сухое;Красное;490;075;85.57;4.2785;https://rskrf.ru//goods/shato-le-gran-vostok-krasnostop/
4;Автохтон. Саперави 2016;Красное;4603040011959;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;518;075;85.11;4.2555;https://rskrf.ru//goods/vino-zashchishchennogo-geograficheskogo-ukazaniya-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-avtokhto/
5;Пикник Вайн 2015;Красное;4660016610929;Alma Valley;ИНВЕСТ ПЛЮС ООО;2018;2015;Сухое;Красное;829;075;84.45;4.2225;https://rskrf.ru//goods/piknik-vayn-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-sukhoe-krasnoe-2015-god/
6;Аристов. Анчелотта 2017;Красное;4607062864630;Аристов;КУБАНЬ-ВИНО ООО;2018;2017;Сухое;Красное;348;075;84.29;4.2145;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-aristov-/
7;Тирамба. Мерло-Каберне 2016;Красное;4600068038258;Южная винная компания;"АО МПБК ""ОЧАКОВО""";2018;2016;Сухое;Красное;900;075;84.27;4.2135;https://rskrf.ru//goods/vino-geograficheskogo-naimenovaniya-vyderzhannoe-sukhoe-krasnoe-urozhaya-2016-goda-tiramba-tamani-ki/
8;Гастрономическое. Каберне-Мерло  2016;Красное;4607964860297;Новое Русское Вино;ДЕЛЬТА КЛАБ ООО;2018;2016;Сухое;Красное;277;075;84.22;4.2110;https://rskrf.ru//goods/gastronomicheskoe-karberne-merlo-sukhoe-krasnoe-/
9;Каберне Качинское 2015;Красное;4623721249204;Инкерман;ИЗМВ ООО;2018;2015;Сухое;Красное;699;075;84;4.2000;https://rskrf.ru//goods/vino-geograficheskogo-naimenovaniya-vyderzhannoe-sukhoe-krasnoe-kaberne-kachinskkoe-inkerman/
