id;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
1;"
                         Абрау Купаж темный. Вино столовое сухое красное                     ";Красное;4605899002720;Абрау;"ООО ""Лоза""";2020;Без указания года;Сухое;Красное;352;0.75;81.66;4.083;https://rskrf.ru//goods/abrau-kupazh-temnyy-vino-stolovoe-sukhoe-krasnoe-/
2;"
                        Абрау Купаж светлый. Столовое сухое белое                    ";Белое;4605899002737;Абрау;"АО ""Миллеровский Винзавод"" 346130. РФ. Ростовская обл.. Миллеровский р-н.. Миллеровское городское по";2020;Без указания года;Сухое;Белое;352;0.75;77.25;3.863;https://rskrf.ru//goods/abrau-kupazh-svetlyy-stolovoe-sukhoe-beloe-bez-ukazaniya-goda/
3;Абрау-Дюрсо (розовое брют) 2016;Игристое;4607026341818;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2018;2016;Брют;Розовое;765;0.75;84.9;4.245;https://rskrf.ru//goods/igristoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-vyderzhannoe-bryut-rozovoe-premium-/
4;Абрау-Дюрсо Victor Dravigny игристое выдержанное брют белое «Премиум». Вино с ЗГУ «Кубань»  2017;Игристое;4607026341795;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2017;Брют;Белое;775;0.75;83.83;4.192;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-bryut-beloe-premium-vino-s-zgu-kuban-2017/
5;Абрау-Дюрсо Victor Dravigny игристое выдержанное полусухое белое «Премиум». Вино с ЗГУ «Кубань»  2017;Игристое;4607026341832;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2017;Полусухое;Белое;775;0.75;83;4.150;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-polusukhoe-beloe-premium-vino-s-zgu-kuban-2017/
6;Виктор Дравиньи. классика. брют белое игристое 2016;Игристое;4607026341795;Абрау-Дюрсо;;2019;2016;Брют;Белое;615;0.75;82.87;4.144;https://rskrf.ru//goods/viktor-dravini-klassika-bryut-beloe-igristoe-2016/
7;Абрау-Дюрсо Victor Dravigny игристое выдержанное брют розовое «Премиум». Вино с ЗГУ «Кубань»  2017;Игристое;4607026341818;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2017;Брют;Розовое;775;0.75;82.55;4.128;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-bryut-rozovoe-premium-vino-s-zgu-kuban-2017/
8;Абрау-Дюрсо Victor Dravigny игристое выдержанное полусладкое белое «Премиум». Вино с ЗГУ «Кубань»  2017;Игристое;4607026342082;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2017;Полусладкое;Белое;775;0.75;81.6;4.080;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-polusladkoe-beloe-premium-vino-s-zgu-kuban-2017/
9;Виктор Дравиньи. классика. полусухое белое игристое 2016;Игристое;4607026341832;Абрау-Дюрсо;;2019;2016;Полусухое;Белое;615;0.75;81.48;4.074;https://rskrf.ru//goods/viktor-dravini-klassika-polusukhoe-beloe-igristoe-2016/
10;Абрау-Дюрсо Victor Dravigny игристое выдержанное полусладкое красное «Премиум Каберне». Вино с ЗГУ «Кубань» 2016;Игристое;4607026341849;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2016;Полусладкое;Красное;599;0.75;80.9;4.045;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-polusladkoe-krasnoe-premium-kaberne-vino-s-zgu-ku/
